ID,FROM_ID,To_ID,DURATION_H,DIST_KM,Municipalicty
2,Helsingborg,17875,0.673,49.24641,Ã–rkelljunga
2,Helsingborg,17888,0.643075,51.47613,Ã–rkelljunga
2,Helsingborg,17897,0.805691667,69.46765,Ã–rkelljunga
2,Helsingborg,17970,0.611213889,45.51157,Ã–rkelljunga
2,Helsingborg,18034,0.628530556,49.60562,Ã–rkelljunga
2,Helsingborg,18087,0.891502778,63.47873,Ã–rkelljunga
2,Helsingborg,18234,0.732141667,55.95836,Ã–rkelljunga
2,Helsingborg,18311,0.680361111,56.41384,Ã–rkelljunga
2,Helsingborg,18347,0.514161111,44.81359,Ã–rkelljunga
2,Helsingborg,18506,0.694175,51.67173,Ã–rkelljunga
2,Helsingborg,18543,0.927038889,74.00352,Ã–rkelljunga
2,Helsingborg,18601,0.645761111,50.7242,Ã–rkelljunga
2,Helsingborg,18667,0.545255556,43.97464,Ã–rkelljunga
2,Helsingborg,18702,0.638919444,56.39425,Ã–rkelljunga
2,Helsingborg,18711,0.636627778,50.21012,Ã–rkelljunga
2,Helsingborg,18786,0.521316667,43.97458,Ã–rkelljunga
2,Helsingborg,18887,0.552980556,50.90682,Ã–rkelljunga
