ID,FROM_ID,To_ID,DURATION_H,DIST_KM,Municipalicty
1,Halmstad,7745,1.082127778,73.69058,Örkelljunga
1,Halmstad,7908,0.944444444,65.19341,Örkelljunga
1,Halmstad,7959,0.9124,56.70434,Örkelljunga
1,Halmstad,7970,0.954355556,61.21053,Örkelljunga
1,Halmstad,7997,0.907497222,58.86766,Örkelljunga
1,Halmstad,8037,0.902383333,63.58332,Örkelljunga
1,Halmstad,8069,0.952230556,66.07559,Örkelljunga
1,Halmstad,8138,0.890102778,55.9634,Örkelljunga
1,Halmstad,8234,1.116013889,66.50147,Örkelljunga
1,Halmstad,8247,0.970602778,79.05048,Örkelljunga
1,Halmstad,8274,1.051255556,65.47507,Örkelljunga
1,Halmstad,8492,1.077255556,72.54377,Örkelljunga
1,Halmstad,8546,0.865883333,61.07969,Örkelljunga
1,Halmstad,8621,1.025336111,70.3829,Örkelljunga
1,Halmstad,8691,0.906794444,64.18102,Örkelljunga
1,Halmstad,8884,0.926227778,64.00098,Örkelljunga
1,Halmstad,8982,0.979119444,70.30189,Örkelljunga
1,Halmstad,8990,0.822283333,59.73632,Örkelljunga
1,Halmstad,9129,0.773530556,55.44762,Örkelljunga
1,Halmstad,9388,0.939777778,62.83437,Örkelljunga
1,Halmstad,9391,0.880252778,62.19969,Örkelljunga
1,Halmstad,9440,1.063975,80.77857,Örkelljunga
1,Halmstad,9583,0.771666667,58.40173,Örkelljunga
1,Halmstad,9591,0.810613889,59.75685,Örkelljunga
1,Halmstad,9626,1.031891667,67.07502,Örkelljunga
1,Halmstad,9698,0.766011111,55.89846,Örkelljunga
1,Halmstad,9796,0.944786111,75.46598,Örkelljunga
1,Halmstad,9893,0.945908333,63.3202,Örkelljunga
1,Halmstad,9938,1.058683333,68.9103,Örkelljunga
1,Halmstad,9985,0.754888889,54.71098,Örkelljunga
1,Halmstad,9999,1.009647222,63.30438,Örkelljunga
1,Halmstad,10075,1.117772222,68.40088,Örkelljunga
1,Halmstad,10130,0.906963889,61.672,Örkelljunga
1,Halmstad,10152,0.830555556,57.0561,Örkelljunga
